timestamp,delta,theta,low_alpha,high_alpha,low_beta,high_beta,low_gamma,mid_gamma
12:44.2,225453,19665,41494,44644,13721,11400,7081,277765
12:45.3,30280,7351,2945,6609,3281,1572,866,274949
12:46.2,19774,2745,1526,1607,2624,403,420,274181
12:47.2,48660,17352,7393,11194,13436,2633,822,272389
12:48.2,670123,102514,77118,58642,154153,7916,14359,275205
12:49.2,464257,9929,71596,118448,33267,63177,6669,274949
12:50.2,21289,6174,19559,3468,7440,6820,3978,275717
12:51.2,27345,12897,6148,10983,5213,1669,1095,274437
12:52.2,537297,23545,42628,40832,60266,16145,3713,272645
12:53.2,24648,5381,5209,2930,2062,1422,519,272645
12:54.2,29559,16387,9996,14634,6174,5848,2344,271877
12:55.2,222808,75362,33301,18077,19489,8654,6298,270853
12:56.3,147014,12551,15856,39430,42723,10129,1513,272645
12:57.2,173047,51859,37117,56482,48985,15392,12381,274949
12:58.2,490390,76729,72671,28287,58702,37709,7105,274437
12:59.2,49940,25383,12517,18910,20572,1690,2080,277765
13:00.2,75115,53210,38284,78386,19659,7197,2221,277765
13:01.2,151088,66315,31160,44883,22165,6486,5554,275205
13:02.2,138307,71621,44977,78272,19604,5156,1810,273157
13:03.3,70879,26562,13782,11772,8055,8581,3436,272645
13:04.2,5670,4799,1586,5257,4171,465,186,273413
13:05.2,53645,12990,46154,13231,16049,9085,2444,274949
13:06.2,114676,55856,6308,10964,31492,17621,2538,277509
13:07.2,59709,27047,22429,39685,32676,14858,1884,280069
13:08.2,514437,242275,44562,268595,133116,41910,19193,278533
13:09.2,59280,21243,9376,12774,3873,2720,1093,275973
13:10.2,553359,209113,260151,220189,131977,92789,27105,275205
13:11.2,13825,3667,2333,2024,4992,990,323,274949
13:12.3,98013,22021,3172,35481,13166,4705,10749,273413
13:13.2,366589,88710,25624,75701,30188,20610,19026,274181
13:14.3,436180,73577,67702,102098,53792,47843,15332,273157
13:15.2,1508219,202709,388916,219416,113380,192853,173979,269573
13:16.2,13812,8367,2700,3344,7148,1303,1355,271877
13:17.2,224300,172173,39239,36485,42835,33415,15918,272645
13:18.2,84431,119370,15145,23069,19712,5135,2832,272645
13:19.2,39845,94920,15753,16363,37613,18292,1665,276485
13:20.2,267330,85912,67912,113637,285947,37076,17815,278533
13:21.3,320852,31160,100681,60850,35325,9338,2696,278277
13:22.2,35933,10523,11580,16821,5586,1403,717,278277
13:23.2,34604,5479,3840,7871,17539,2148,560,279301
13:24.2,101651,32631,94378,100640,19295,5459,839,274437
13:25.2,177827,73084,73038,40476,85118,21581,8432,277509
13:26.2,112682,13292,25343,10685,19444,11840,4854,278277
13:27.2,26516,2361,7591,21128,18443,5537,2569,278533
13:28.3,83340,33005,49824,33522,25206,11557,7139,279813
13:29.2,27625,431,6549,2171,1172,2166,322,275205
13:30.2,39033,19782,52999,25985,27581,2887,438,276741
13:31.2,86245,30461,16781,24219,4306,2974,1721,269829
13:32.2,178466,16612,11518,67597,26835,30315,5206,269829
13:33.2,368060,96944,156696,89965,49039,56312,27624,271877
13:34.2,62200,32631,21164,13365,11202,5589,2358,269061
13:35.2,719594,53143,61128,76185,73405,48003,15410,271877
13:36.2,25721,8420,10146,5358,4368,2201,762,271877
13:37.2,44332,2190,8125,3348,7070,4602,754,271877
13:38.2,48015,5933,8409,7065,9962,7819,541,273157
13:39.3,392066,78795,97236,30654,35845,13563,6581,272645
13:40.2,55182,6805,8728,16196,18211,8530,2846,274949
13:41.2,192289,163265,227834,67423,58997,24075,16767,274437
13:42.2,69243,66786,40254,44133,62353,5225,14448,276485
13:43.2,87037,25530,15958,6571,8285,4455,475,276741
13:44.3,252019,21849,17944,27268,18257,10482,3127,274181
